understat_id,tm_id,note
11834,466807,direct: Adrià Alti
12369,352041,direct: Lucas Perri
7033,185699,direct: Tim Leibold
9774,364237,direct: Mamadou Loum
1568,35537,direct: Felipe Melo
5115,50487,direct: Christian Santos
5300,296378,direct: Gian-Luca Itter
7032,279079,direct: Lukas Mühl
7540,537127,direct: Theo Sainte Luce
7852,364233,direct: Sidy Sarr
11071,598765,direct: Brian Ocampo
11825,718034,direct: Abderrahmane Rebbach
12824,806793,direct: Clément Akpa
401,62915,direct: Álvaro Domínguez
4785,120091,direct: Kassim Abdallah
4813,5676,direct: Olivier Sorlin
5628,109720,direct: Joffrey Cuffaut
7035,57091,direct: Hanno Behrens
8692,314912,direct: Jerome Hergault
8982,251813,direct: Niclas Eliasson
9008,337946,direct: Jairo Izquierdo
11504,955357,direct: Eli Junior Kroupi
2341,215,direct: Roque Santa Cruz
2999,95604,direct: Gianni Bruno
4706,79110,direct: Bangaly-Fodé Koita
4786,5698,direct: Cédric Barbosa
5178,295065,direct: Antonio Moya
7038,153637,direct: Mikael Ishak
11824,927768,direct: Lucas Pires
12734,670681,direct: João Neves
12737,438971,direct: Viti Rozada
12825,501709,direct: Theo Bair
12856,676411,direct: Dailon Livramento
215,4607,direct: Roel Brouwers
4716,164937,direct: Clarck N'Sikulu
5632,77348,direct: Julien Cetout
6333,395695,direct: Elisha Owusu
6400,302371,direct: Antonio Martínez
8151,684062,direct: Hianga'a M'Bock
8738,162652,direct: Filip Malbasic
12345,903693,direct: Senny Mayulu
12821,705395,direct: Gerard Martín
12850,461607,direct: Esteban Lepaul
141,37788,direct: Philipp Hosiner
4713,194218,direct: Yeltsin Tejeda
4758,212937,direct: Alexy Bosetti
7031,51325,direct: Georg Margreitter
7776,482072,direct: Kévin Denkey
8732,247366,direct: Marcos Mauro
9761,454238,direct: Tomás Alarcón
10814,263951,direct: Hamza Sakhi
12915,388409,direct: Philipp Sander
136,34543,direct: Dusan Svento
2349,44027,direct: Ikechukwu Uche
3787,41261,direct: Mouhamadou Habib Habibou
4101,44674,direct: Giovani dos Santos
4712,123305,direct: Djakaridja Koné
4719,111283,direct: Cédric Cambon
5631,205497,direct: Tobias Badila
5639,5345,direct: Youssouf Hadji
5697,5406,direct: Benoit Pedretti
9937,520947,direct: Santiago Arzamendia
10101,618813,direct: Carlos Martín
10813,167472,direct: Youssouf M'Changama
11991,787151,direct: Lukas Ullrich
12777,459665,direct: Patrizio Masini
12780,307058,direct: Mehdi Taremi
12901,834744,direct: Antoniu Roca
6865,259025,direct: Umut Bozok
13003,953901,direct: Santiago Mouriño
13058,783094,direct: Benjamin Bouchouari
13075,606119,direct: Phil Harres
322,111900,direct: Joo-Ho Park
3640,292822,direct: Aldo Kalulu
4717,33831,direct: Modou Sougou
5634,39924,direct: Antony Robic
5641,66791,direct: Diallo Guidileye
11894,810649,direct: Max Finkgrafe
12878,924349,direct: Issa Doumbia
439,568,direct: Martin Stranzl
3870,19726,direct: Nemanja Vidic
4162,71840,direct: Gaizka Toquero
5627,53306,direct: Guy N'Dy Assembe
7154,214346,direct: Virgil Misidjan
8938,158704,direct: Jon Ander Garrido
11119,782476,direct: Yoann Cathline
11893,542697,direct: Rasmus Carstensen
12882,667517,direct: Jordan James
12904,654991,direct: Samuel Mbangula
4277,16565,direct: Daniel Halfar
5282,160668,direct: Antonio-Mirko Colak
5629,256902,direct: Modou Diagne
7034,165331,direct: Ondrej Petrák
7039,186260,direct: Yuya Kubo
9427,472242,direct: Mehmet Can Aydin
10545,134277,direct: Julian Jeanvier
10818,743496,direct: Kévin Danois
10835,566823,direct: Achraf Dari
12716,401571,direct: Tomás Conechny
12884,452164,direct: Endrick
13100,1121298,direct: Juma Bah
3730,236414,direct: Valentin Lavigne
10074,704270,direct: Sambou Soumano
10834,379168,direct: Noah Fadiga
12977,333903,direct: Lars Ritzka
5060,139915,direct: Aleksandar Katai
5744,509234,direct: Matteo Ahlinvi
12810,484888,direct: Ibrahim Sissoko
6434,354361,common_name 'Franck Anguissa' → 'Frank Anguissa' (score=96.55172413793103)
1374,7825,common_name 'Pepe Reina' → 'Pepe Reina' (score=100.0)
6827,186186,common_name 'Bobby De Cordova-Reid' → 'Bobby De Cordova-Reid' (score=100.0)
6954,459463,common_name 'Cucho Hernandez' → 'Cucho Hernández' (score=100.0)
10872,663581,common_name 'Vini Souza' → 'Vini Souza' (score=100.0)
6557,403898,common_name 'Jordan Beyer' → 'Jordan Beyer' (score=100.0)
657,27394,common_name 'Alex Song' → 'Alex Song' (score=100.0)
1722,37941,common_name 'Camilo Zuniga' → 'Camilo Zúñiga' (score=100.0)
6538,409106,common_name 'Peter Etebo' → 'Peter Etebo' (score=100.0)
1491,20005,common_name 'Papu Gomez' → 'Papu Gómez' (score=100.0)
6708,327251,common_name 'Ridle Baku' → 'Ridle Baku' (score=100.0)
3785,344072,common_name 'Kelvin Amian' → 'Kelvin Amian' (score=100.0)
3978,73926,common_name 'Davide Faraoni' → 'Davide Faraoni' (score=100.0)
2112,39907,common_name 'Pape Diop' → 'Pape Diop' (score=100.0)
6955,167721,common_name 'Chimy Avila' → 'Chimy Ávila' (score=100.0)
6120,207834,common_name 'Yassine Bounou' → 'Yassine Bounou' (score=100.0)
8094,607223,common_name 'Rayan Cherki' → 'Rayan Cherki' (score=100.0)
6533,131275,common_name 'Choco Lozano' → 'Choco Lozano' (score=100.0)
3517,410185,common_name 'Ronael Pierre-Gabriel' → 'Ronaël Pierre-Gabriel' (score=100.0)
8949,284342,common_name 'Conan Ledesma' → 'Conan Ledesma' (score=100.0)
7937,303219,common_name 'Jeff Chabot' → 'Jeff Chabot' (score=100.0)
2532,339820,common_name 'Amath Ndiaye' → 'Amath Ndiaye' (score=100.0)
